time_local,issue_date,mean,p10,p50,p90,forecast,lead_day,pc_baseline,ens_ws_mean,ens_ws_std,n_models
2026-02-01 00:00:00,2026-01-31,0.0985,0.0098,0.0166,0.146,0.0985,1,0.0256,3.6667,2.9542,3
2026-02-01 01:00:00,2026-01-31,0.0987,0.0098,0.0118,0.1216,0.0987,1,0.0503,4.1467,3.3966,3
2026-02-01 02:00:00,2026-01-31,0.0977,0.0088,0.0101,0.1301,0.0977,1,0.0768,4.5233,4.1739,3
2026-02-01 03:00:00,2026-01-31,0.0923,0.0013,0.0115,0.1346,0.0923,1,0.0374,3.9267,5.2779,3
2026-02-01 04:00:00,2026-01-31,0.0918,0.0085,0.0105,0.183,0.0918,1,0.0316,3.8033,5.6965,3
2026-02-01 05:00:00,2026-01-31,0.1033,0.0097,0.0223,0.2283,0.1033,1,0.0337,3.85,5.4999,3
2026-02-01 06:00:00,2026-01-31,0.1052,0.0095,0.0127,0.1852,0.1052,1,0.0435,4.0367,5.5715,3
2026-02-01 07:00:00,2026-01-31,0.103,0.0097,0.0246,0.3151,0.103,1,0.0986,4.8133,5.2217,3
2026-02-01 08:00:00,2026-01-31,0.1417,0.0142,0.0708,0.4446,0.1417,1,0.2587,6.4167,4.2058,3
2026-02-01 09:00:00,2026-01-31,0.1995,0.0093,0.113,0.4671,0.1995,1,0.3217,6.89,3.2266,3
2026-02-01 10:00:00,2026-01-31,0.2393,0.0093,0.1622,0.6805,0.2393,1,0.4554,7.6933,2.9042,3
2026-02-01 11:00:00,2026-01-31,0.2131,0.007,0.165,0.7492,0.2131,1,0.5027,7.9667,3.6995,3
2026-02-01 12:00:00,2026-01-31,0.2865,0.0182,0.2642,0.7826,0.2865,1,0.5274,8.0733,3.4962,3
2026-02-01 13:00:00,2026-01-31,0.332,0.0391,0.3151,0.7981,0.332,1,0.4973,7.94,3.1522,3
2026-02-01 14:00:00,2026-01-31,0.4798,0.0522,0.4416,0.7914,0.4798,1,0.4987,7.9467,2.9536,3
2026-02-01 15:00:00,2026-01-31,0.384,0.0419,0.335,0.75,0.384,1,0.4898,7.8967,2.795,3
2026-02-01 16:00:00,2026-01-31,0.361,0.0353,0.287,0.7618,0.361,1,0.5386,8.13,2.7223,3
2026-02-01 17:00:00,2026-01-31,0.2941,0.0223,0.2384,0.6728,0.2941,1,0.4362,7.58,3.8998,3
2026-02-01 18:00:00,2026-01-31,0.2682,0.0247,0.249,0.623,0.2682,1,0.4313,7.5467,3.6922,3
2026-02-01 19:00:00,2026-01-31,0.2621,0.0333,0.2139,0.6613,0.2621,1,0.4583,7.71,3.5274,3
2026-02-01 20:00:00,2026-01-31,0.2988,0.0297,0.226,0.6833,0.2988,1,0.5171,8.0267,3.4149,3
2026-02-01 21:00:00,2026-01-31,0.3229,0.0285,0.2344,0.7369,0.3229,1,0.5582,8.24,3.5208,3
2026-02-01 22:00:00,2026-01-31,0.2877,0.0293,0.2137,0.7222,0.2877,1,0.5734,8.3133,3.4079,3
2026-02-01 23:00:00,2026-01-31,0.2718,0.0319,0.1852,0.6529,0.2718,1,0.4474,7.6467,4.2743,3
2026-02-02 00:00:00,2026-01-31,0.1745,0.0149,0.1179,0.5674,0.1745,2,0.355,7.09,4.8808,3
2026-02-02 01:00:00,2026-01-31,0.201,0.0144,0.1233,0.5904,0.201,2,0.3638,7.1467,5.0889,3
2026-02-02 02:00:00,2026-01-31,0.2212,0.0112,0.1564,0.6514,0.2212,2,0.3857,7.2733,5.28,3
2026-02-02 03:00:00,2026-01-31,0.277,0.0302,0.2036,0.7832,0.277,2,0.4868,7.8767,5.3203,3
2026-02-02 04:00:00,2026-01-31,0.4404,0.0778,0.4097,0.8296,0.4404,2,0.6123,8.54,5.2215,3
2026-02-02 05:00:00,2026-01-31,0.5497,0.266,0.6133,0.9362,0.5497,2,0.974,11.3033,0.411,3
2026-02-02 06:00:00,2026-01-31,0.6147,0.3344,0.6276,0.9622,0.6147,2,0.9839,11.7933,0.4271,3
2026-02-02 07:00:00,2026-01-31,0.5745,0.254,0.555,0.964,0.5745,2,0.9847,11.8633,0.814,3
2026-02-02 08:00:00,2026-01-31,0.5947,0.3172,0.6005,0.9688,0.5947,2,0.9872,12.07,1.1122,3
2026-02-02 09:00:00,2026-01-31,0.6443,0.3782,0.6649,0.9695,0.6443,2,0.9839,11.7933,0.7438,3
2026-02-02 10:00:00,2026-01-31,0.6989,0.3954,0.7544,0.9756,0.6989,2,0.9819,11.6133,0.792,3
2026-02-02 11:00:00,2026-01-31,0.7835,0.4672,0.9041,0.9854,0.7835,2,0.989,12.41,1.1601,3
2026-02-02 12:00:00,2026-01-31,0.8633,0.5693,0.9574,0.9877,0.8633,2,0.9896,12.6833,1.2987,3
2026-02-02 13:00:00,2026-01-31,0.8792,0.5889,0.9586,0.9891,0.8792,2,0.99,12.8567,0.8504,3
2026-02-02 14:00:00,2026-01-31,0.9012,0.5498,0.9782,0.9867,0.9012,2,0.9893,12.5367,0.6088,3
2026-02-02 15:00:00,2026-01-31,0.825,0.4762,0.9163,0.9876,0.825,2,0.9823,11.64,0.151,3
2026-02-02 16:00:00,2026-01-31,0.6026,0.2208,0.5952,0.9882,0.6026,2,0.8422,9.72,1.9486,3
2026-02-02 17:00:00,2026-01-31,0.6074,0.1725,0.6363,0.9091,0.6074,2,0.8449,9.74,0.9885,3
2026-02-02 18:00:00,2026-01-31,0.385,0.0582,0.3343,0.847,0.385,2,0.5186,8.0333,0.8857,3
2026-02-02 19:00:00,2026-01-31,0.3772,0.0425,0.3405,0.6743,0.3772,2,0.3059,6.7867,0.7199,3
2026-02-02 20:00:00,2026-01-31,0.2959,0.0222,0.2281,0.5901,0.2959,2,0.201,5.9233,1.1662,3
2026-02-02 21:00:00,2026-01-31,0.2341,0.0149,0.1704,0.535,0.2341,2,0.1911,5.82,1.5462,3
2026-02-02 22:00:00,2026-01-31,0.201,0.0103,0.1185,0.4539,0.201,2,0.1857,5.7667,1.8124,3
2026-02-02 23:00:00,2026-01-31,0.1794,0.012,0.118,0.4438,0.1794,2,0.102,4.8567,1.2638,3
